material_id,formula_pretty,composition,natoms,formation_energy_per_atom,energy_per_atom,is_stable_mp,icsd_ids
mp-122,Ba,Ba,1,0.0,,True,icsd-77367|icsd-76156|icsd-426927|icsd-94258|icsd-56132|icsd-44719|icsd-191758|icsd-108091|icsd-615774
mp-94,Cd,Cd,1,0.0,,True,icsd-53770|icsd-181733|icsd-619639|icsd-52793|icsd-426933|icsd-52264|icsd-619642|icsd-98179|icsd-619641|icsd-64702
mp-568348,P,P,1,0.0,,True,icsd-29273
mp-527,BaCd,BaCd,2,-0.309211824999999,,True,icsd-58642|icsd-615805
mp-8093,Ba2Cd,Ba2Cd,3,-0.225413399999998,,True,icsd-30083
mp-11266,BaCd2,BaCd2,3,-0.309593153333333,,True,icsd-260668|icsd-58643
mp-1105095,BaP2,BaP2,3,-0.8030356214285691,,True,icsd-429732
mp-913,CdP2,CdP2,3,-0.181319395734126,,True,icsd-62336|icsd-16500
mp-7808,BaP3,BaP3,4,-0.66459478973214,,True,icsd-23618|icsd-426771
mp-8279,Ba(CdP)2,Ba(CdP)2,5,-0.5651984778571381,,True,icsd-615814|icsd-30915
mp-2441,Cd3P2,Cd3P2,5,-0.123177781940475,,True,icsd-181134|icsd-158865|icsd-620219|icsd-158864|icsd-656178|icsd-620208|icsd-77869
mp-7904,CdP4,CdP4,5,-0.120742532380951,,True,icsd-25605|icsd-620212
mp-14289,Ba3P4,Ba3P4,7,-0.948490984081629,,True,icsd-38322
mp-28823,Ba4P3,Ba4P3,7,-1.003928899668367,,True,icsd-73206
mp-1105231,Ba5P4,Ba5P4,9,-1.010274563730141,,True,icsd-429733
mp-30275,BaP8,BaP8,9,-0.309704130238093,,False,icsd-96544
mp-28035,BaP10,BaP10,11,-0.257091821038959,,False,icsd-35295
mp-31216,BaCd11,BaCd11,12,-0.12608137708333,,True,icsd-615809|icsd-58644
mp-567378,Ba5P9,Ba5P9,14,-0.838168841913264,,False,icsd-98667
mp-1195,Ba3P14,Ba3P14,17,-0.50608046735294,,True,icsd-653664|icsd-23629
mp-29576,Cd7P10,Cd7P10,17,-0.143591411456581,,False,icsd-200596
